title	collection	permalink	date	venue	authors	paperurl	citation
FTrack: Infrastructure-free floor localization via mobile phone sensing	publications	ftrack-infrastructure-free-floor-localization-via-mobile-phone-sensing	2012-06-01	2012 IEEE International Conference on Pervasive Computing and Communications	Ye, Haibo; Gu, Tao; Zhu, Xiaorui; Xu, Jinwei; Tao, Xianping; Lu, Jian; Jin, Ning; 		Ye, Haibo; Gu, Tao; Zhu, Xiaorui; Xu, Jinwei; Tao, Xianping; Lu, Jian; Jin, Ning;. (2012). FTrack: Infrastructure-free floor localization via mobile phone sensing. 2012 IEEE International Conference on Pervasive Computing and Communications. pp. 2-10. IEEE
Building a real-world body area sensor network system	publications	building-a-real-world-body-area-sensor-network-system	2010-01-01	Proceedings of the Second Asia-Pacific Symposium on Internetware	Jingwei, Xu; Liang, Wang; Xianping, Tao; 		Jingwei, Xu; Liang, Wang; Xianping, Tao;. (2010). Building a real-world body area sensor network system. Proceedings of the Second Asia-Pacific Symposium on Internetware. pp. 1-4
Ice-Breaking: Mitigating Cold-Start Recommendation Problem by Rating Comparison.	publications	ice-breaking-mitigating-cold-start-recommendation-problem-by-rating-comparison	2015-08-01	IJCAI	Xu, Jingwei; Yao, Yuan; Tong, Hanghang; Tao, Xianping; Lu, Jian; 		Xu, Jingwei; Yao, Yuan; Tong, Hanghang; Tao, Xianping; Lu, Jian;. (2015). Ice-Breaking: Mitigating Cold-Start Recommendation Problem by Rating Comparison.. IJCAI. pp. 3981-3987
Artemis-FollowMe: An agent-based middleware for mobile context-aware applications	publications	artemis-followme-an-agent-based-middleware-for-mobile-context-aware-applications	2011-01-01	2011 6th International Conference on Pervasive Computing and Applications	Ma, Jun; Wang, Liang; Xu, Jingwei; Tao, Xianping; Lu, Jian; 		Ma, Jun; Wang, Liang; Xu, Jingwei; Tao, Xianping; Lu, Jian;. (2011). Artemis-FollowMe: An agent-based middleware for mobile context-aware applications. 2011 6th International Conference on Pervasive Computing and Applications. pp. 139-145. IEEE
R a P are: A generic strategy for cold-start rating prediction problem	publications	r-a-p-are-a-generic-strategy-for-cold-start-rating-prediction-problem	2016-06-01	IEEE Transactions on Knowledge and Data Engineering	Xu, Jingwei; Yao, Yuan; Tong, Hanghang; Tao, Xianping; Lu, Jian; 		Xu, Jingwei; Yao, Yuan; Tong, Hanghang; Tao, Xianping; Lu, Jian;. (2016). R a P are: A generic strategy for cold-start rating prediction problem. IEEE Transactions on Knowledge and Data Engineering. Vol. 29.0. No. 6.0. pp. 1296-1309. IEEE
Hoorays: High-order optimization of rating distance for recommender systems	publications	hoorays-high-order-optimization-of-rating-distance-for-recommender-systems	2017-08-01	Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining	Xu, Jingwei; Yao, Yuan; Tong, Hanghang; Tao, Xianping; Lu, Jian; 		Xu, Jingwei; Yao, Yuan; Tong, Hanghang; Tao, Xianping; Lu, Jian;. (2017). Hoorays: High-order optimization of rating distance for recommender systems. Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining. pp. 525-534
Measuring and predicting the relevance ratings between floss projects using topic features	publications	measuring-and-predicting-the-relevance-ratings-between-floss-projects-using-topic-features	2018-01-01	Proceedings of the 10th Asia-Pacific Symposium on Internetware	Zheng, Zhiwen; Wang, Liang; Xu, Jingwei; Wu, Tianheng; Wu, Simeng; Tao, Xianping; 		Zheng, Zhiwen; Wang, Liang; Xu, Jingwei; Wu, Tianheng; Wu, Simeng; Tao, Xianping;. (2018). Measuring and predicting the relevance ratings between floss projects using topic features. Proceedings of the 10th Asia-Pacific Symposium on Internetware. pp. 1-10
Boosting operational dnn testing efficiency through conditioning	publications	boosting-operational-dnn-testing-efficiency-through-conditioning	2019-06-01	Proceedings of the 2019 27th ACM Joint meeting on European software engineering conference and symposium on the foundations of software engineering	Li, Zenan; Ma, Xiaoxing; Xu, Chang; Cao, Chun; Xu, Jingwei; Lü, Jian; 		Li, Zenan; Ma, Xiaoxing; Xu, Chang; Cao, Chun; Xu, Jingwei; Lü, Jian;. (2019). Boosting operational dnn testing efficiency through conditioning. Proceedings of the 2019 27th ACM Joint meeting on European software engineering conference and symposium on the foundations of software engineering. pp. 499-509
Operational calibration: Debugging confidence errors for dnns in the field	publications	operational-calibration-debugging-confidence-errors-for-dnns-in-the-field	2020-06-01	Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering	Li, Zenan; Ma, Xiaoxing; Xu, Chang; Xu, Jingwei; Cao, Chun; Lü, Jian; 		Li, Zenan; Ma, Xiaoxing; Xu, Chang; Xu, Jingwei; Cao, Chun; Lü, Jian;. (2020). Operational calibration: Debugging confidence errors for dnns in the field. Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering. pp. 901-913
Fast robustness prediction for deep neural network	publications	fast-robustness-prediction-for-deep-neural-network	2019-01-01	Proceedings of the 11th Asia-Pacific Symposium on Internetware	Wang, Yuehuan; Li, Zenan; Xu, Jingwei; Yu, Ping; Ma, Xiaoxing; 		Wang, Yuehuan; Li, Zenan; Xu, Jingwei; Yu, Ping; Ma, Xiaoxing;. (2019). Fast robustness prediction for deep neural network. Proceedings of the 11th Asia-Pacific Symposium on Internetware. pp. 1-10
DISSECTOR: Input Validation for Deep Learning Applications by Crossing-layer Dissection	publications	dissector-input-validation-for-deep-learning-applications-by-crossing-layer-dissection	2020-06-01	42nd ACM/IEEE International Conference on Software Engineering (ICSE 2020)	Wang, Huiyan; Xu, Jingwei; Xu, Chang; Ma, Xiaoxing; Lu, Jian; 		Wang, Huiyan; Xu, Jingwei; Xu, Chang; Ma, Xiaoxing; Lu, Jian;. (2020). DISSECTOR: Input Validation for Deep Learning Applications by Crossing-layer Dissection. 42nd ACM/IEEE International Conference on Software Engineering (ICSE 2020)
Predicted Robustness as QoS for Deep Neural Network Models	publications	predicted-robustness-as-qos-for-deep-neural-network-models	2020-01-01	JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY	Yuehuan, Wang1; Zenan, Li; Jingwei, Xu; Ping, Yu; Taolue, Chen; Xiaoxing, Ma; 		Yuehuan, Wang1; Zenan, Li; Jingwei, Xu; Ping, Yu; Taolue, Chen; Xiaoxing, Ma;. (2020). Predicted Robustness as QoS for Deep Neural Network Models. JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY. Vol. 35.0. No. 5.0. pp. 999-1015. Springer
基于鲁棒性预测的深度神经网络质量保障	publications	基于鲁棒性预测的深度神经网络质量保障	2020-01-01	计算机科学技术学报	Wang, Yue-Huan; Li, Ze-Nan; Xu, Jing-Wei; Yu, Ping; Chen, Taolue; Ma, Xiao-Xing; 		Wang, Yue-Huan; Li, Ze-Nan; Xu, Jing-Wei; Yu, Ping; Chen, Taolue; Ma, Xiao-Xing;. (2020). 基于鲁棒性预测的深度神经网络质量保障. 计算机科学技术学报. Vol. 35.0. No. 5.0. pp. 999-1015
Joint distribution across representation space for out-of-distribution detection	publications	joint-distribution-across-representation-space-for-out-of-distribution-detection	2021-01-01	arXiv preprint arXiv:2103.12344	Xu, JingWei; Zhu, Siyuan; Li, Zenan; Xu, Chang; 		Xu, JingWei; Zhu, Siyuan; Li, Zenan; Xu, Chang;. (2021). Joint distribution across representation space for out-of-distribution detection. arXiv preprint arXiv:2103.12344
Scheduling distributed deep learning jobs in heterogeneous cluster with placement awareness	publications	scheduling-distributed-deep-learning-jobs-in-heterogeneous-cluster-with-placement-awareness	2020-01-01	Proceedings of the 12th Asia-Pacific Symposium on Internetware	Li, Qingping; Xu, Jingwei; Cao, Chun; 		Li, Qingping; Xu, Jingwei; Cao, Chun;. (2020). Scheduling distributed deep learning jobs in heterogeneous cluster with placement awareness. Proceedings of the 12th Asia-Pacific Symposium on Internetware. pp. 217-228
ADEPT: A testing platform for simulated autonomous driving	publications	adept-a-testing-platform-for-simulated-autonomous-driving	2022-06-01	Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering	Wang, Sen; Sheng, Zhuheng; Xu, Jingwei; Chen, Taolue; Zhu, Junjun; Zhang, Shuhui; Yao, Yuan; Ma, Xiaoxing; 		Wang, Sen; Sheng, Zhuheng; Xu, Jingwei; Chen, Taolue; Zhu, Junjun; Zhang, Shuhui; Yao, Yuan; Ma, Xiaoxing;. (2022). ADEPT: A testing platform for simulated autonomous driving. Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering. pp. 1-4
